true\pred,class_0,class_1,class_2,class_3,class_4,class_5
class_0,2155433,108,76,3208,563,837
class_1,2,311224,834,314,16389,217
class_2,0,1417,9,0,129,2
class_3,627,25,34,1346302,442,483
class_4,2,21560,152,287,18010,8
class_5,493,515,13,443,297,83497
