round,loss,accuracy,micro_precision,micro_recall,micro_f1,macro_precision,macro_recall,macro_f1,weighted_precision,weighted_recall,weighted_f1
31,2.01616,0.374453,0.374453,0.374453,0.374453,0.21909,0.401644,0.218565,0.325826,0.374453,0.253415
32,2.33918,0.374344,0.374344,0.374344,0.374344,0.320998,0.400673,0.21821,0.502347,0.374344,0.253254
33,3.857448,0.374409,0.374409,0.374409,0.374409,0.264934,0.400965,0.218468,0.272837,0.374409,0.25327
34,5.73584,0.374422,0.374422,0.374422,0.374422,0.181618,0.400961,0.218502,0.221018,0.374422,0.253272
35,6.670426,0.374438,0.374438,0.374438,0.374438,0.181604,0.401007,0.21851,0.221006,0.374438,0.253274
36,7.900944,0.374462,0.374462,0.374462,0.374462,0.181716,0.401542,0.218676,0.22103,0.374462,0.253293
37,9.178876,0.374469,0.374469,0.374469,0.374469,0.181761,0.401752,0.218741,0.221039,0.374469,0.2533
38,10.455739,0.374473,0.374473,0.374473,0.374473,0.181792,0.401883,0.218784,0.221047,0.374473,0.253305
39,11.674384,0.374491,0.374491,0.374491,0.374491,0.181997,0.403003,0.219105,0.221056,0.374491,0.253315
40,12.813324,0.3745,0.3745,0.3745,0.3745,0.182098,0.403459,0.219247,0.221069,0.3745,0.253324
41,14.096649,0.374508,0.374508,0.374508,0.374508,0.182192,0.403917,0.219387,0.221081,0.374508,0.253331
42,15.410501,0.374512,0.374512,0.374512,0.374512,0.18225,0.404213,0.219472,0.221087,0.374512,0.253335
43,16.74344,0.374518,0.374518,0.374518,0.374518,0.182274,0.404308,0.219508,0.22109,0.374518,0.253339
44,17.584154,0.374521,0.374521,0.374521,0.374521,0.182277,0.404351,0.219518,0.221085,0.374521,0.253338
45,18.392747,0.374525,0.374525,0.374525,0.374525,0.182277,0.404332,0.219518,0.221085,0.374525,0.253341
46,20.054634,0.374521,0.374521,0.374521,0.374521,0.182298,0.404405,0.219544,0.221091,0.374521,0.253341
47,20.856967,0.374532,0.374532,0.374532,0.374532,0.182342,0.40461,0.219613,0.221091,0.374532,0.253345
48,22.12567,0.374532,0.374532,0.374532,0.374532,0.182365,0.404674,0.219646,0.221091,0.374532,0.253345
49,22.554767,0.374533,0.374533,0.374533,0.374533,0.182348,0.404685,0.219634,0.221073,0.374533,0.253338
50,23.091619,0.374536,0.374536,0.374536,0.374536,0.18235,0.404705,0.219641,0.221065,0.374536,0.253336
51,24.789671,0.374538,0.374538,0.374538,0.374538,0.182359,0.404694,0.219647,0.221084,0.374538,0.253345
52,25.512455,0.374536,0.374536,0.374536,0.374536,0.182341,0.404649,0.219632,0.221065,0.374536,0.253335
53,26.239038,0.374538,0.374538,0.374538,0.374538,0.182352,0.404726,0.21965,0.221065,0.374538,0.253337
54,27.593781,0.374541,0.374541,0.374541,0.374541,0.182356,0.404761,0.219656,0.221071,0.374541,0.253341
55,27.967878,0.374541,0.374541,0.374541,0.374541,0.182357,0.404789,0.219663,0.221057,0.374541,0.253335
56,28.585458,0.374549,0.374549,0.374549,0.374549,0.18237,0.404819,0.219684,0.221063,0.374549,0.253342
57,29.245254,0.374549,0.374549,0.374549,0.374549,0.182373,0.40488,0.219692,0.221059,0.374549,0.25334
58,30.014136,0.374549,0.374549,0.374549,0.374549,0.182374,0.404916,0.219696,0.221058,0.374549,0.253339
59,29.937093,0.374548,0.374548,0.374548,0.374548,0.182379,0.404925,0.219703,0.221056,0.374548,0.253338
60,30.417098,0.37455,0.37455,0.37455,0.37455,0.182378,0.404829,0.219695,0.221072,0.37455,0.253346
