true\pred,class_0,class_1,class_2,class_3,class_4,class_5
class_0,0.997782,0.000050,0.000035,0.001485,0.000261,0.000387
class_1,0.000006,0.946027,0.002535,0.000954,0.049818,0.000660
class_2,0.000000,0.910083,0.005780,0.000000,0.082852,0.001285
class_3,0.000465,0.000019,0.000025,0.998805,0.000328,0.000358
class_4,0.000050,0.538744,0.003798,0.007172,0.450036,0.000200
class_5,0.005782,0.006040,0.000152,0.005196,0.003484,0.979345
