round,loss,accuracy,micro_precision,micro_recall,micro_f1,macro_precision,macro_recall,macro_f1,weighted_precision,weighted_recall,weighted_f1
30,0.053005,0.998987,0.998987,0.998987,0.998987,0.666328,0.597753,0.628068,0.998691,0.998987,0.998797
61,16.490884,0.002616,0.002616,0.002616,0.002616,0.06934,0.449479,0.110885,0.000216,0.002616,0.000357
91,5.479483,0.000666,0.000666,0.000666,0.000666,0.000431,0.229981,0.000854,5e-06,0.000666,1e-05
122,2.111211,0.00019,0.00019,0.00019,0.00019,3.3e-05,0.181818,6.6e-05,0.0,0.00019,0.0
152,1.964778,0.001267,0.001267,0.001267,0.001267,0.000403,0.153831,0.000803,4e-06,0.001267,8e-06
