true\pred,Benign,DoS,double,force-neutral,fuzzing,interval
Benign,0.000000,0.000000,0.000000,0.030719,0.961879,0.007402
DoS,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000
double,0.000000,0.000000,0.000000,0.197132,0.583098,0.219770
force-neutral,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000
fuzzing,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000
interval,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
