true\pred,Benign,DoS,double,force-neutral,fuzzing,interval,rpm,rpm-accessory,speed
Benign,0.000264,0.000000,0.000000,0.000000,0.460820,0.000000,0.150167,0.004348,0.384400
DoS,0.000000,0.000000,0.000000,0.000000,0.686003,0.000000,0.253664,0.000000,0.060333
double,0.000000,0.000000,0.000000,0.000000,0.270603,0.000000,0.313462,0.016354,0.399581
force-neutral,0.000000,0.000000,0.000000,0.000000,0.166957,0.000000,0.807103,0.000000,0.025940
fuzzing,0.004427,0.000000,0.000000,0.000000,0.672212,0.000000,0.087491,0.000639,0.235231
interval,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.008929,0.000000,0.991071
rpm,0.000000,0.000000,0.000000,0.000000,0.155265,0.000000,0.821138,0.023597,0.000000
rpm-accessory,0.000000,0.000000,0.000000,0.000000,0.178957,0.000000,0.023840,0.797203,0.000000
speed,0.000000,0.000000,0.000000,0.000000,0.000134,0.000000,0.013787,0.000000,0.986080
