true\pred,Benign,DoS,double,force-neutral,fuzzing,interval
Benign,0.000000,0.000000,0.000000,0.000000,0.999997,0.000003
DoS,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000
double,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000
force-neutral,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000
fuzzing,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000
interval,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000
