true\pred,Benign,DoS,double,force-neutral,fuzzing,interval,rpm,rpm-accessory,speed
Benign,0.000000,0.000000,0.000000,0.000000,0.123022,0.000000,0.408002,0.091772,0.377203
DoS,0.000000,0.000000,0.000000,0.000000,0.054827,0.000000,0.423623,0.521550,0.000000
double,0.000000,0.000000,0.000000,0.000000,0.057359,0.000000,0.341416,0.042214,0.559011
force-neutral,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.243210,0.000000,0.756790
fuzzing,0.000505,0.000000,0.000000,0.000000,0.242332,0.000000,0.474711,0.072786,0.209667
interval,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
rpm,0.000000,0.000000,0.000000,0.000000,0.178862,0.000000,0.821138,0.000000,0.000000
rpm-accessory,0.000000,0.000000,0.000000,0.000000,0.970757,0.000000,0.022886,0.006357,0.000000
speed,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
