true\pred,Benign,DoS,double,force-neutral,fuzzing,interval
Benign,0.000000,0.000000,0.000000,0.000358,0.995783,0.003859
DoS,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000
double,0.000000,0.000000,0.000000,0.000000,0.780230,0.219770
force-neutral,0.000000,0.000000,0.000000,0.756790,0.243210,0.000000
fuzzing,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000
interval,0.000000,0.000000,0.000000,0.000000,0.059913,0.940087
