true\pred,Benign,DoS,double,force-neutral,fuzzing,interval,rpm,rpm-accessory,speed
Benign,0.006190,0.000000,0.000000,0.000000,0.596146,0.000000,0.166012,0.002116,0.229537
DoS,0.000000,0.000000,0.000000,0.000000,0.478450,0.000000,0.363690,0.000000,0.157860
double,0.000000,0.000000,0.000000,0.000000,0.143962,0.000000,0.379924,0.016354,0.459760
force-neutral,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000
fuzzing,0.005407,0.000000,0.000000,0.000000,0.629714,0.000000,0.056060,0.003238,0.305581
interval,0.000000,0.000000,0.000000,0.000000,0.008929,0.000000,0.111933,0.000000,0.879138
rpm,0.000000,0.000000,0.000000,0.000000,0.188578,0.000000,0.787825,0.023597,0.000000
rpm-accessory,0.000000,0.000000,0.000000,0.000000,0.179275,0.000000,0.028926,0.791799,0.000000
speed,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
