round,loss,accuracy,micro_precision,micro_recall,micro_f1,macro_precision,macro_recall,macro_f1,weighted_precision,weighted_recall,weighted_f1
31,10.684522,0.719033,0.719033,0.719033,0.719033,0.51593,0.47501,0.38239,0.805585,0.719033,0.645457
32,9.435426,0.71857,0.71857,0.71857,0.71857,0.516846,0.475577,0.380212,0.816716,0.71857,0.644662
33,7.977048,0.717836,0.717836,0.717836,0.717836,0.513054,0.476116,0.376166,0.822882,0.717836,0.643391
34,6.66236,0.717315,0.717315,0.717315,0.717315,0.535509,0.478888,0.366216,0.825294,0.717315,0.642607
35,5.402558,0.71674,0.71674,0.71674,0.71674,0.507835,0.4786,0.354295,0.767548,0.71674,0.6427
36,4.359728,0.716344,0.716344,0.716344,0.716344,0.488599,0.478388,0.352183,0.715786,0.716344,0.641949
37,3.47564,0.716147,0.716147,0.716147,0.716147,0.483509,0.478236,0.350865,0.709923,0.716147,0.641446
38,2.797042,0.715774,0.715774,0.715774,0.715774,0.479194,0.478009,0.349594,0.711616,0.715774,0.640603
39,2.277615,0.715279,0.715279,0.715279,0.715279,0.485473,0.477506,0.347753,0.703175,0.715279,0.639622
40,1.934163,0.714901,0.714901,0.714901,0.714901,0.493755,0.477074,0.346423,0.725064,0.714901,0.638897
41,1.751431,0.714465,0.714465,0.714465,0.714465,0.438384,0.476612,0.34501,0.791639,0.714465,0.638097
42,1.69301,0.714177,0.714177,0.714177,0.714177,0.465499,0.476388,0.344165,0.862025,0.714177,0.637592
43,1.699029,0.713832,0.713832,0.713832,0.713832,0.381743,0.476133,0.343442,0.649537,0.713832,0.637115
44,1.722532,0.71346,0.71346,0.71346,0.71346,0.381011,0.475896,0.342903,0.649025,0.71346,0.636661
45,1.759911,0.713353,0.713353,0.713353,0.713353,0.380558,0.475755,0.342548,0.648808,0.713353,0.63648
46,1.790391,0.713265,0.713265,0.713265,0.713265,0.379996,0.475679,0.342295,0.648468,0.713265,0.636323
47,1.819444,0.713244,0.713244,0.713244,0.713244,0.379892,0.475566,0.3422,0.648383,0.713244,0.636263
48,1.874151,0.713253,0.713253,0.713253,0.713253,0.379523,0.475456,0.342169,0.648125,0.713253,0.636245
49,1.925563,0.713222,0.713222,0.713222,0.713222,0.378801,0.475374,0.342074,0.647665,0.713222,0.636185
50,1.959031,0.713195,0.713195,0.713195,0.713195,0.379214,0.475343,0.342001,0.647922,0.713195,0.636138
51,1.991511,0.713149,0.713149,0.713149,0.713149,0.380124,0.475388,0.341942,0.648484,0.713149,0.636082
52,2.021827,0.713048,0.713048,0.713048,0.713048,0.382138,0.475311,0.341851,0.649739,0.713048,0.635995
53,2.046062,0.712189,0.712189,0.712189,0.712189,0.383789,0.475093,0.341629,0.650623,0.712189,0.63537
54,2.057713,0.711759,0.711759,0.711759,0.711759,0.384384,0.474977,0.341584,0.650866,0.711759,0.635059
55,2.068255,0.702861,0.702861,0.702861,0.702861,0.379269,0.472801,0.339851,0.646099,0.702861,0.628702
56,2.072167,0.675898,0.675898,0.675898,0.675898,0.37608,0.466151,0.334136,0.64007,0.675898,0.609011
57,2.074644,0.393883,0.393883,0.393883,0.393883,0.369052,0.397055,0.249502,0.611817,0.393883,0.290828
58,2.081599,0.382887,0.382887,0.382887,0.382887,0.368827,0.394193,0.24417,0.610885,0.382887,0.269609
59,2.109466,0.382568,0.382568,0.382568,0.382568,0.286021,0.394078,0.244343,0.559116,0.382568,0.268968
60,2.121325,0.382459,0.382459,0.382459,0.382459,0.286309,0.394061,0.244476,0.559148,0.382459,0.268748
