round,loss,accuracy,micro_precision,micro_recall,micro_f1,macro_precision,macro_recall,macro_f1,weighted_precision,weighted_recall,weighted_f1
1,1.477176,0.986864,0.986864,0.986864,0.986864,0.730247,0.721258,0.725232,0.9861,0.986864,0.986444
2,0.557022,0.987007,0.987007,0.987007,0.987007,0.731158,0.722608,0.726403,0.986286,0.987007,0.98661
3,0.296316,0.987318,0.987318,0.987318,0.987318,0.734595,0.727025,0.730449,0.986714,0.987318,0.986989
4,0.235086,0.987425,0.987425,0.987425,0.987425,0.73578,0.728723,0.731939,0.986868,0.987425,0.987123
5,0.221495,0.987412,0.987412,0.987412,0.987412,0.735618,0.728484,0.731731,0.986848,0.987412,0.987106
6,0.229741,0.987427,0.987427,0.987427,0.987427,0.735766,0.728706,0.731923,0.986869,0.987427,0.987124
7,0.211486,0.987457,0.987457,0.987457,0.987457,0.736076,0.729157,0.732317,0.986912,0.987457,0.987162
8,0.180456,0.987462,0.987462,0.987462,0.987462,0.736136,0.729257,0.7324,0.986921,0.987462,0.987169
9,0.184209,0.987467,0.987467,0.987467,0.987467,0.736168,0.729327,0.732454,0.986929,0.987467,0.987176
10,0.17938,0.987467,0.987467,0.987467,0.987467,0.736144,0.729281,0.732417,0.986927,0.987467,0.987174
11,0.149046,0.987475,0.987475,0.987475,0.987475,0.736188,0.72935,0.732476,0.986937,0.987475,0.987184
12,0.166447,0.987472,0.987472,0.987472,0.987472,0.736195,0.729363,0.732486,0.986934,0.987472,0.987181
13,0.173439,0.98748,0.98748,0.98748,0.98748,0.736254,0.729458,0.732566,0.986945,0.98748,0.987191
14,0.173423,0.987481,0.987481,0.987481,0.987481,0.736251,0.729453,0.732562,0.986946,0.987481,0.987192
15,0.153812,0.987482,0.987482,0.987482,0.987482,0.736253,0.729448,0.73256,0.986947,0.987482,0.987193
16,0.139117,0.987479,0.987479,0.987479,0.987479,0.736206,0.729331,0.732472,0.986939,0.987479,0.987186
17,0.1524,0.987495,0.987495,0.987495,0.987495,0.736338,0.729572,0.732668,0.986963,0.987495,0.987207
18,0.168741,0.987486,0.987486,0.987486,0.987486,0.736272,0.729465,0.732578,0.986951,0.987486,0.987197
19,0.154182,0.987491,0.987491,0.987491,0.987491,0.736297,0.729499,0.732608,0.986957,0.987491,0.987202
20,0.160024,0.987496,0.987496,0.987496,0.987496,0.7363,0.7295,0.73261,0.986962,0.987496,0.987207
21,0.155002,0.987496,0.987496,0.987496,0.987496,0.736286,0.729482,0.732594,0.986962,0.987496,0.987207
22,0.162855,0.987503,0.987503,0.987503,0.987503,0.73636,0.729594,0.73269,0.986972,0.987503,0.987216
23,0.152741,0.987516,0.987516,0.987516,0.987516,0.736386,0.729632,0.732723,0.986986,0.987516,0.987229
24,0.158363,0.987514,0.987514,0.987514,0.987514,0.736348,0.729569,0.732671,0.986982,0.987514,0.987226
25,0.151002,0.9875,0.9875,0.9875,0.9875,0.736319,0.729541,0.732642,0.986968,0.9875,0.987212
26,0.17025,0.987514,0.987514,0.987514,0.987514,0.736338,0.729556,0.732659,0.986981,0.987514,0.987226
27,0.170882,0.987517,0.987517,0.987517,0.987517,0.736377,0.729616,0.73271,0.986986,0.987517,0.98723
28,0.153348,0.987518,0.987518,0.987518,0.987518,0.736379,0.729615,0.732711,0.986987,0.987518,0.987231
29,0.162189,0.987518,0.987518,0.987518,0.987518,0.736523,0.729722,0.732833,0.986987,0.987518,0.987231
30,0.158919,0.987518,0.987518,0.987518,0.987518,0.736381,0.729629,0.732719,0.986988,0.987518,0.987232
